round,fedavg_mae_ms,cfl_mae_ms
1,8.448974569578668,7.471808266386669
2,8.250586344571161,7.4336923153710925
3,8.24501909661529,7.260244012176215
4,8.183527781634869,7.136508505440764
5,8.088457932720868,7.106065850630059
6,8.08017533051696,7.099180535752021
7,7.933599819197446,7.0815882926394425
8,7.903565320538631,6.89683067936618
9,7.816818723095401,6.902360014408771
10,7.886873006469304,6.790900194090173
11,7.673366454530671,6.764776097524929
12,7.680335401037022,6.70620554337385
13,7.670165860131355,6.676128391324137
14,7.472318403190985,6.702067357287138
15,7.461556373698574,6.568180340691092
16,7.346665557379709,6.46749575103536
17,7.2351733557498354,6.4043858711697546
18,7.237031660578499,6.370303719535952
19,7.188850954567136,6.282546192499061
20,7.133526181778124,6.279960398777563
21,7.086404344923411,6.099820042856552
22,7.044610816855798,6.157776717661901
23,6.927980021428908,6.110235542801153
24,6.949508221951241,6.007842267703023
25,6.9372861860963875,5.996340125372227
26,6.888423343750134,6.021543527669232
27,6.754726938721273,5.97577320975238
28,6.758841684879011,5.840653844968519
29,6.627070047853554,5.845136671239897
30,6.59147989251432,5.6961952011712516
31,6.576651774914782,5.708971233971836
32,6.488611083742995,5.688474024678999
33,6.391310509237556,5.706925226041174
34,6.445860083387762,5.644349480208544
35,6.312985417513648,5.549766593997952
36,6.279156355728464,5.448830095459045
37,6.3093216697454215,5.51788833228464
38,6.235032578401221,5.388969874908521
39,6.169252713367526,5.384890984623035
40,6.039752408347993,5.3132780690535775
41,6.0083179268436355,5.376405377182704
42,6.040103686074403,5.204126094622185
43,6.005977828931383,5.238717511490012
44,5.941845153477623,5.14729799049338
45,5.860699288306578,5.139219190217737
46,5.814717295148303,5.151338096511949
47,5.806964677101552,4.93010568066419
48,5.690169492974379,4.987480555740735
49,5.7143821253314835,4.906876987934409
50,5.597848578219185,4.935107180405787
51,5.572590225158076,4.9090333297626225
52,5.592507377286408,4.8129907586874445
53,5.571569157223887,4.77285724296178
54,5.518739726661362,4.77198863962932
55,5.405592117022636,4.6613656438265725
56,5.327859070987574,4.705299386315905
57,5.381503363471721,4.611746644905765
58,5.247872866781591,4.653685226602716
59,5.351394943168674,4.515852522128283
60,5.211843640637447,4.518496070983551
61,5.339757268752376,4.474780852203862
62,5.142482107254072,4.463269521159616
63,5.176655558377406,4.513191833092834
64,5.0799918916521,4.453224561456688
65,5.072112105152789,4.353843572777471
66,5.05379812194273,4.321048300040123
67,5.052068849635108,4.356932761797251
68,5.024856971369642,4.222399723849906
69,4.975442446436929,4.249982951757251
70,4.956517770821484,4.187174260205379
71,4.839750866229076,4.177805369566587
72,4.869273565653715,4.196097951163845
