round,mse_loss
1,0.6337719348528584
2,0.6282616895756766
3,0.6182948376599239
4,0.6025604201327492
5,0.5919054837026444
6,0.5825116660017303
7,0.5709393328836746
8,0.5647588037862887
9,0.5555282789826106
10,0.5471092856145324
11,0.5331130946302606
12,0.5289870133116468
13,0.5145229624184756
14,0.5111848409196348
15,0.49554626170332755
16,0.4962050747303197
17,0.4815861488788968
18,0.4767472751766527
19,0.4689324596324836
20,0.4551806326552338
21,0.4537292752807073
22,0.4419461847544031
23,0.4351921521303066
24,0.4267465668956808
25,0.42637796046232046
26,0.4109360998773371
27,0.40877408612936217
28,0.39877489023319285
29,0.3972049335640505
30,0.3943025962153945
31,0.37897310565456893
32,0.37492657896816994
33,0.36710760761058375
34,0.3652467265806755
35,0.3553661664044566
36,0.3529170674558814
37,0.3432020515762028
38,0.34542579726961814
39,0.32652206438604464
40,0.3287301471421048
41,0.3221698835570673
42,0.31676051994723686
43,0.31255163057815194
44,0.306759259535417
45,0.3022216794170651
46,0.2978599088998282
47,0.2970424013144538
48,0.2787457773702255
49,0.28791645012192346
50,0.28547139340311734
51,0.2680381273173632
52,0.26901539107319694
53,0.2686457853409392
54,0.2630257874183087
55,0.2611138820883206
56,0.25309155142666706
57,0.2418418530469586
58,0.24789134262784882
59,0.2419925018706063
60,0.2406638389794497
61,0.22791042174464626
62,0.22517961533616357
63,0.22525853689331307
64,0.22565522870377924
65,0.22300151315921357
66,0.2125631734533258
67,0.21015649504173778
68,0.21668771576548437
69,0.20316904582595602
70,0.20366743445776583
71,0.19715727290150167
72,0.19686486278090023
73,0.18982471997171133
74,0.18694770328022936
75,0.1854397302482243
76,0.18205971103032514
77,0.1799777675776441
78,0.17971297023134142
79,0.18110148257075462
80,0.17100250191199232
81,0.16720014983575976
82,0.16763260373657618
83,0.1625347164637525
84,0.15771335573556458
85,0.16338605674202827
86,0.15805298217700486
87,0.1560080620694294
88,0.147394348498555
89,0.14916619546354906
90,0.14445812886085702
91,0.14646953030285087
92,0.14479828044103193
93,0.1426989480696102
94,0.13823794247770388
95,0.13565760311270145
96,0.13565103706793422
97,0.13535167424073105
98,0.13062807894212378
99,0.12767309131009696
100,0.12595464077157625
101,0.1248502292007056
102,0.12368697752247326
103,0.12000187226950351
104,0.12024287744686545
105,0.12360174383770013
106,0.11735413172292178
107,0.11289524207299291
108,0.108239745805679
109,0.11895658700545936
110,0.11532583531876586
111,0.11124987723361524
112,0.11239959972926875
113,0.10903645232278593
114,0.10579509612974518
115,0.10089577615604083
116,0.10896180495231123
117,0.10056921633324663
118,0.09940202814747091
119,0.0993544118346057
120,0.09812230019735763
121,0.09842207922839098
122,0.09683895360674405
123,0.09251413422514054
124,0.09312881913631584
125,0.09350833346933471
126,0.08874218235488521
127,0.09393791323095851
128,0.0884273502114976
129,0.0921936873827005
130,0.08215164353262248
131,0.0872410098147528
132,0.08157402204759748
133,0.08132831809160766
134,0.08495114708745649
135,0.08057395270466035
136,0.08809201765555526
137,0.08091155309644218
138,0.07634480784550093
139,0.07908287461047382
140,0.0759195821725215
141,0.07825112204198993
142,0.07400598208668689
143,0.07526964812124917
144,0.0738152156170781
145,0.07264045372110914
146,0.07473049074447462
147,0.06540968237838479
148,0.07034047127778056
149,0.06718681730410322
150,0.0645004372614352
151,0.06530242186354335
152,0.06523919960957135
153,0.0656879918492863
154,0.06671422687639245
155,0.0666498175438226
156,0.06312867123823412
157,0.06845470297366374
158,0.06194360229308088
159,0.05658657149791328
160,0.06077189688643347
161,0.061338057449757726
162,0.050779556597147835
163,0.06363312044580469
164,0.05913712164395962
165,0.0554107948772997
166,0.05543142918859573
167,0.06005084873865511
168,0.0598811334711153
169,0.05475643109894444
170,0.052119701975545565
171,0.056070384084792736
172,0.05612228730298367
173,0.05638516661287705
174,0.05251910033721778
175,0.053369973818799855
176,0.05333299482120458
177,0.055717652748260856
178,0.05635798332660734
179,0.05673305554953621
180,0.05540724847493298
181,0.05651678206574048
182,0.053700102148273275
183,0.04848427198962556
184,0.05445192443939458
185,0.04532842919479775
186,0.05616447052119326
187,0.045765721369763306
188,0.05098156333804593
189,0.052285289164518606
190,0.048970902427392084
191,0.04108896005136725
192,0.04404952536370557
193,0.04762338633169317
194,0.048125530003731064
195,0.045354037270278647
196,0.045791077175365236
197,0.04084483228645023
198,0.050263764820067246
199,0.043501677275328866
200,0.046702024284351176
